PERMNO,date,TICKER,RET,vwretd
14542,10/30/2020,GOOG,0.103028,-0.020178
14542,11/30/2020,GOOG,0.086199,0.123707
14542,12/31/2020,GOOG,-0.005032,0.045048
14542,1/29/2021,GOOG,0.047869,-0.000631
14542,2/26/2021,GOOG,0.109558,0.029196
14542,3/31/2021,GOOG,0.015597,0.030573
14542,4/30/2021,GOOG,0.16508,0.04819
14542,5/28/2021,GOOG,0.000597,0.007092
14542,6/30/2021,GOOG,0.039294,0.023422
14542,7/30/2021,GOOG,0.07904,0.011828
14542,8/31/2021,GOOG,0.075735,0.027146
14542,9/30/2021,GOOG,-0.083847,-0.042243
14542,10/29/2021,GOOG,0.112595,0.064651
14542,11/30/2021,GOOG,-0.039242,-0.01835
14542,12/31/2021,GOOG,0.015637,0.033341
14542,1/31/2022,GOOG,-0.062075,-0.059822
14542,2/28/2022,GOOG,-0.005951,-0.021838
14542,3/31/2022,GOOG,0.035277,0.030506
14542,4/29/2022,GOOG,-0.17675,-0.089387
14542,5/31/2022,GOOG,-0.008068,-0.002108
14542,6/30/2022,GOOG,-0.04092,-0.084
14542,7/29/2022,GOOG,0.066447,0.090352
14542,8/31/2022,GOOG,-0.064215,-0.03624
14542,9/30/2022,GOOG,-0.119102,-0.091324
14542,10/31/2022,GOOG,-0.015497,0.077403
14542,11/30/2022,GOOG,0.07173,0.052365
14542,12/30/2022,GOOG,-0.125382,-0.057116
15054,1/31/2018,UBS,0.104948,0.050638
15054,2/28/2018,UBS,-0.066437,-0.039481
15054,3/29/2018,UBS,-0.069056,-0.018445
15054,4/30/2018,UBS,-0.048698,0.004692
15054,5/31/2018,UBS,-0.055405,0.026164
15054,6/29/2018,UBS,0.007884,0.005365
15054,7/31/2018,UBS,0.070404,0.031604
15054,8/31/2018,UBS,-0.046285,0.030233
15054,9/28/2018,UBS,0.00447,0.000425
15054,10/31/2018,UBS,-0.116338,-0.074045
15054,11/30/2018,UBS,-0.026619,0.018512
15054,12/31/2018,UBS,-0.084996,-0.08989
15054,1/31/2019,UBS,0.04685,0.088294
15054,2/28/2019,UBS,-0.022377,0.032724
15054,3/29/2019,UBS,-0.044199,0.012962
15054,4/30/2019,UBS,0.109827,0.037893
15054,5/31/2019,UBS,-0.098452,-0.061679
15054,6/28/2019,UBS,0.036745,0.067279
15054,7/31/2019,UBS,-0.057384,0.011854
15054,8/30/2019,UBS,-0.05103,-0.020339
15054,9/30/2019,UBS,0.066981,0.016033
